Klucz Geograficzny,Miasto,Kod Prowincji,Nazwa Prowincji,Kod Regionu,Kraj,Kod Pocztowy
485.0,Odessa,MO,Missouri,US,USA,64076
486.0,Saint Ann,MO,Missouri,US,USA,63074
487.0,Saint Louis,MO,Missouri,US,USA,63103
488.0,Biloxi,MS,Mississippi,US,USA,39530
489.0,Gulfport,MS,Mississippi,US,USA,39501
490.0,Tupelo,MS,Mississippi,US,USA,38804
491.0,Billings,MT,Montana,US,USA,59101
492.0,Great Falls,MT,Montana,US,USA,59401
493.0,Missoula,MT,Montana,US,USA,59801
494.0,Charlotte,NC,North Carolina,US,USA,28202
495.0,Greensboro,NC,North Carolina,US,USA,27412
496.0,Kannapolis,NC,North Carolina,US,USA,28081
497.0,Raleigh,NC,North Carolina,US,USA,27603
498.0,Rocky Mount,NC,North Carolina,US,USA,27803
499.0,Smithfield,NC,North Carolina,US,USA,27577
500.0,Winston-Salem,NC,North Carolina,US,USA,27104
501.0,Hooksett,NH,New Hampshire,US,USA,03106
502.0,Nashua,NH,New Hampshire,US,USA,03064
503.0,Plaistow,NH,New Hampshire,US,USA,03865
504.0,Tilton,NH,New Hampshire,US,USA,03276
505.0,Las Cruces,NM,New Mexico,US,USA,88001
506.0,Rio Rancho,NM,New Mexico,US,USA,87124
507.0,Santa Fe,NM,New Mexico,US,USA,87501
508.0,Fernley,NV,Nevada,US,USA,89408
509.0,Las Vegas,NV,Nevada,US,USA,89106
510.0,North Las Vegas,NV,Nevada,US,USA,89030
511.0,Reno,NV,Nevada,US,USA,89502
512.0,Sparks,NV,Nevada,US,USA,89431
513.0,Central Valley,NY,New York,US,USA,10917
514.0,Cheektowaga,NY,New York,US,USA,14227
515.0,Clay,NY,New York,US,USA,13041
516.0,De Witt,NY,New York,US,USA,13214
517.0,Endicott,NY,New York,US,USA,13760
518.0,Ithaca,NY,New York,US,USA,14850
519.0,Lake George,NY,New York,US,USA,12845
520.0,Melville,NY,New York,US,USA,11747
521.0,New Hartford,NY,New York,US,USA,13413
522.0,New York,NY,New York,US,USA,10007
523.0,Valley Stream,NY,New York,US,USA,11580
524.0,Burbank,OH,Ohio,US,USA,44214
525.0,Cincinnati,OH,Ohio,US,USA,45202
526.0,Columbus,OH,Ohio,US,USA,43215
527.0,Euclid,OH,Ohio,US,USA,44119
528.0,Heath,OH,Ohio,US,USA,43056
529.0,Holland,OH,Ohio,US,USA,43528
530.0,Mansfield,OH,Ohio,US,USA,44903
531.0,Mentor,OH,Ohio,US,USA,44060
532.0,North Randall,OH,Ohio,US,USA,44128
533.0,Oberlin,OH,Ohio,US,USA,44074
534.0,Springdale,OH,Ohio,US,USA,45246
535.0,Albany,OR,Oregon,US,USA,97321
536.0,Beaverton,OR,Oregon,US,USA,97005
537.0,Clackamas,OR,Oregon,US,USA,97015
538.0,Clackamas,OR,Oregon,US,USA,97015-6403
539.0,Corvallis,OR,Oregon,US,USA,97330
540.0,Hillsboro,OR,Oregon,US,USA,97123
541.0,Klamath Falls,OR,Oregon,US,USA,97601
542.0,Lake Oswego,OR,Oregon,US,USA,97034
543.0,Lebanon,OR,Oregon,US,USA,97355
544.0,Medford,OR,Oregon,US,USA,97504
545.0,Milwaukie,OR,Oregon,US,USA,97222
546.0,Oregon City,OR,Oregon,US,USA,97045
547.0,Portland,OR,Oregon,US,USA,97205
548.0,Salem,OR,Oregon,US,USA,97301
549.0,Springfield,OR,Oregon,US,USA,97477
550.0,Tigard,OR,Oregon,US,USA,97223
551.0,Troutdale,OR,Oregon,US,USA,97060
552.0,W. Linn,OR,Oregon,US,USA,97068
553.0,Woodburn,OR,Oregon,US,USA,97071
554.0,Warwick,RI,Rhode Island,US,USA,02889
555.0,West Kingston,RI,Rhode Island,US,USA,02892
556.0,Woonsocket,RI,Rhode Island,US,USA,02895
557.0,Bluffton,SC,South Carolina,US,USA,29910
558.0,Gaffney,SC,South Carolina,US,USA,29340
559.0,Myrtle Beach,SC,South Carolina,US,USA,29577
560.0,Denby,SD,South Dakota,US,USA,57716
561.0,North Sioux City,SD,South Dakota,US,USA,57049
562.0,Crossville,TN,Tennessee,US,USA,38555
563.0,Hixson,TN,Tennessee,US,USA,37343
564.0,Kingsport,TN,Tennessee,US,USA,37660
565.0,La Vergne,TN,Tennessee,US,USA,37086
566.0,Maryville,TN,Tennessee,US,USA,37801
567.0,Memphis,TN,Tennessee,US,USA,38103
568.0,Millington,TN,Tennessee,US,USA,38054
569.0,Nashville,TN,Tennessee,US,USA,37203
570.0,Pigeon Forge,TN,Tennessee,US,USA,37863
571.0,Arlington,TX,Texas,US,USA,76010
572.0,Austin,TX,Texas,US,USA,78701
573.0,Baytown,TX,Texas,US,USA,77520
574.0,Carrollton,TX,Texas,US,USA,75006
575.0,Cedar Park,TX,Texas,US,USA,78613
576.0,College Station,TX,Texas,US,USA,77840
577.0,Corpus Christi,TX,Texas,US,USA,78404
578.0,Dallas,TX,Texas,US,USA,75201
579.0,Fort Worth,TX,Texas,US,USA,76102
580.0,Garland,TX,Texas,US,USA,75040
581.0,Hillsboro,TX,Texas,US,USA,76645
582.0,Houston,TX,Texas,US,USA,77003
583.0,Humble,TX,Texas,US,USA,77338
584.0,Irving,TX,Texas,US,USA,75061
585.0,Killeen,TX,Texas,US,USA,76541
586.0,La Marque,TX,Texas,US,USA,77568
587.0,Laredo,TX,Texas,US,USA,78040
588.0,Mesquite,TX,Texas,US,USA,75149
589.0,Plano,TX,Texas,US,USA,75074
590.0,Round Rock,TX,Texas,US,USA,78664
591.0,San Antonio,TX,Texas,US,USA,78204
592.0,Stafford,TX,Texas,US,USA,77477
593.0,Sugar Land,TX,Texas,US,USA,77478
594.0,Bountiful,UT,Utah,US,USA,84010
595.0,Cedar City,UT,Utah,US,USA,84720
596.0,Ogden,UT,Utah,US,USA,84401
597.0,Park City,UT,Utah,US,USA,84098
598.0,Riverton,UT,Utah,US,USA,84065
599.0,Salt Lake City,UT,Utah,US,USA,84101
600.0,Sandy,UT,Utah,US,USA,84070
601.0,Tooele,UT,Utah,US,USA,84074
602.0,Chantilly,VA,Virginia,US,USA,20151
603.0,Falls Church,VA,Virginia,US,USA,22046
604.0,Leesburg,VA,Virginia,US,USA,20176
605.0,Newport News,VA,Virginia,US,USA,23607
606.0,Virginia Beach,VA,Virginia,US,USA,23451
607.0,Ballard,WA,Washington,US,USA,98107
608.0,Bellevue,WA,Washington,US,USA,98004
609.0,Bellingham,WA,Washington,US,USA,98225
610.0,Bothell,WA,Washington,US,USA,98011
611.0,Bremerton,WA,Washington,US,USA,98312
612.0,Burien,WA,Washington,US,USA,98168
613.0,Chehalis,WA,Washington,US,USA,98532
614.0,Edmonds,WA,Washington,US,USA,98020
615.0,Ellensburg,WA,Washington,US,USA,98926
616.0,Everett,WA,Washington,US,USA,98201
617.0,Federal Way,WA,Washington,US,USA,98003
618.0,Issaquah,WA,Washington,US,USA,98027
619.0,Kelso,WA,Washington,US,USA,98626
620.0,Kenmore,WA,Washington,US,USA,98028
621.0,Kennewick,WA,Washington,US,USA,99337
622.0,Kent,WA,Washington,US,USA,98031
623.0,Kirkland,WA,Washington,US,USA,98033
624.0,Lacey,WA,Washington,US,USA,98503
625.0,Longview,WA,Washington,US,USA,98632
626.0,Lynnwood,WA,Washington,US,USA,98036
627.0,Marysville,WA,Washington,US,USA,98270
628.0,Monroe,WA,Washington,US,USA,98272
629.0,Newport Hills,WA,Washington,US,USA,98006
630.0,North Bend,WA,Washington,US,USA,98045
631.0,Olympia,WA,Washington,US,USA,98501
632.0,Port Orchard,WA,Washington,US,USA,98366
633.0,Puyallup,WA,Washington,US,USA,98371
634.0,Redmond,WA,Washington,US,USA,98052
635.0,Renton,WA,Washington,US,USA,98055
636.0,Sammamish,WA,Washington,US,USA,98074
637.0,Seattle,WA,Washington,US,USA,98104
638.0,Sedro Woolley,WA,Washington,US,USA,98284
639.0,Sequim,WA,Washington,US,USA,98382
640.0,Shelton,WA,Washington,US,USA,98584
641.0,Spokane,WA,Washington,US,USA,99202
642.0,Tacoma,WA,Washington,US,USA,98403
643.0,Union Gap,WA,Washington,US,USA,98903
644.0,Walla Walla,WA,Washington,US,USA,99362
645.0,Washougal,WA,Washington,US,USA,98671
646.0,Wenatchee,WA,Washington,US,USA,98801
647.0,Woodinville,WA,Washington,US,USA,98072
648.0,Yakima,WA,Washington,US,USA,98901
649.0,Johnson Creek,WI,Wisconsin,US,USA,53038
650.0,Milwaukee,WI,Wisconsin,US,USA,53202
651.0,Mosinee,WI,Wisconsin,US,USA,54455
652.0,Racine,WI,Wisconsin,US,USA,53182
653.0,Casper,WY,Wyoming,US,USA,82601
654.0,Cheyenne,WY,Wyoming,US,USA,82001
655.0,Rock Springs,WY,Wyoming,US,USA,82901
